id_ext_link,id_source,source,url,rating,normalized_rating,reviews_nr,normalized_reviews,last_refresh,id_outlet_info
2083356046467787,1-CYUBEPE2GEMTT2,Grab,1-CYUBEPE2GEMTT2,4.3,5,91,5,2020-06-26,8455875287950824
4835891339898819,1-CZCYKGJKE3VKCJ,Grab,1-CZCYKGJKE3VKCJ,3.9,2,8,2,2020-06-26,4915069430105268
158493658503291,MYDD11737,Grab,MYDD11737,4.1,3,141,6,2020-06-26,4570360846678388
997434389964299,1-CZDZG26FLU52TX,Grab,1-CZDZG26FLU52TX,5.0,10,7,2,2020-06-26,442110031621812
2600478202957107,1-CZDKJ3KAKFBVCE,Grab,1-CZDKJ3KAKFBVCE,4.7,9,3,1,2020-06-26,7804050973976700
9350900100442853,1-CYVTVNB1V8MEV2,Grab,1-CYVTVNB1V8MEV2,4.4,7,58,5,2020-06-26,5455356841818805
1423350813633800,1-CY3JG33ANGBTCN,Grab,1-CY3JG33ANGBTCN,4.3,5,47,4,2020-06-26,2931969780918809
7035903398078180,1-CY4TEFD1J3TGJN,Grab,1-CY4TEFD1J3TGJN,3.7,2,55,4,2020-06-26,4471455078219856
1003639732137549,1-CZD1BCBHGPMGVE,Grab,1-CZD1BCBHGPMGVE,5.0,10,1,1,2020-06-26,265070749944949
9642244340406710,1-CYMVVX22C23VJN,Grab,1-CYMVVX22C23VJN,4.1,3,78,5,2020-06-26,4910399761041614
658666802507792,1-CYX2HAVFGNTKR6,Grab,1-CYX2HAVFGNTKR6,2.0,1,1,1,2020-06-26,6459467038372188
9027382763334712,MYDD12267,Grab,MYDD12267,4.1,3,260,8,2020-06-26,3007876879261268
7856270484056744,MYDD12266,Grab,MYDD12266,4.1,3,468,9,2020-06-26,7359895187917533
4299497387785829,MYDD07494,Grab,MYDD07494,4.0,3,21,3,2020-06-26,1479837158619571
1214849978601658,1-CY2HTKVFVA2HRN,Grab,1-CY2HTKVFVA2HRN,3.6,2,5,1,2020-06-26,956847849939588
927506653698073,1-CZB1HBNKEB4DAT,Grab,1-CZB1HBNKEB4DAT,4.3,5,223,7,2020-06-26,9100030005283124
4849915243382413,MYDD12534,Grab,MYDD12534,4.5,8,778,9,2020-06-26,4095466930025733
2774793608440011,1-CYWFKFTWCF2XMA,Grab,1-CYWFKFTWCF2XMA,4.4,7,596,9,2020-06-26,1681676959969088
547710252389813,1-CY2BPAMHLGECAT,Grab,1-CY2BPAMHLGECAT,4.3,5,57,5,2020-06-26,6726073813690841
6221953316705961,1-CYWKRA2AGPN2A6,Grab,1-CYWKRA2AGPN2A6,4.3,5,874,10,2020-06-26,6312238616220498
9257572428897978,1-CYVTL4D3GXXGLE,Grab,1-CYVTL4D3GXXGLE,4.3,5,169,7,2020-06-26,9039441676783188
2590077903091447,1-CYUKERAFV62YVX,Grab,1-CYUKERAFV62YVX,4.2,4,68,5,2020-06-26,4045863266283541
2068089038778576,1-CYM2CXVAG23ZAE,Grab,1-CYM2CXVAG23ZAE,4.3,5,85,5,2020-06-26,7411760822465437
2883740198765142,MYDD11459,Grab,MYDD11459,4.2,4,406,8,2020-06-26,8719196259121480
5937385027912859,1-CYUCJXMHLXCBRJ,Grab,1-CYUCJXMHLXCBRJ,4.1,3,490,9,2020-06-26,9794103780840523
9069820827892640,1-CY2WUALGGVC1TJ,Grab,1-CY2WUALGGVC1TJ,3.9,2,30,3,2020-06-26,6153876672680577
5490110712631195,1-CYVFJ4MALFXFKA,Grab,1-CYVFJ4MALFXFKA,4.1,3,23,3,2020-06-26,3323719260870019
